timestamp,btc_price,up_token_price,down_token_price
2026-08-09T02:05:04Z,64851.83,,
2026-08-09T02:05:05Z,64851.84,0.56,0.45
2026-08-09T02:05:06Z,64851.84,0.56,0.45
2026-08-09T02:05:07Z,64851.84,0.56,0.45
2026-08-09T02:05:08Z,64851.84,0.56,0.45
2026-08-09T02:05:09Z,64851.84,0.56,0.45
2026-08-09T02:05:10Z,64851.84,0.56,0.45
2026-08-09T02:05:11Z,64851.84,0.56,0.45
2026-08-09T02:05:12Z,64851.84,0.56,0.45
2026-08-09T02:05:13Z,64851.84,0.53,0.47
2026-08-09T02:05:14Z,64851.84,0.53,0.47
2026-08-09T02:05:15Z,64851.84,0.53,0.47
2026-08-09T02:05:16Z,64851.83,0.53,0.47
2026-08-09T02:05:17Z,64851.83,0.52,0.48
2026-08-09T02:05:18Z,64851.83,0.51,0.49
2026-08-09T02:05:19Z,64851.83,0.49,0.51
2026-08-09T02:05:20Z,64851.83,0.49,0.51
2026-08-09T02:05:21Z,64851.84,0.49,0.51
2026-08-09T02:05:22Z,64851.84,0.48,0.52
2026-08-09T02:05:23Z,64851.84,0.48,0.52
2026-08-09T02:05:24Z,64851.84,0.48,0.52
2026-08-09T02:05:25Z,64851.84,0.46,0.54
2026-08-09T02:05:26Z,64851.84,0.45,0.56
2026-08-09T02:05:27Z,64851.84,0.46,0.54
2026-08-09T02:05:28Z,64851.83,0.44,0.56
2026-08-09T02:05:29Z,64851.84,0.46,0.54
2026-08-09T02:05:30Z,64851.84,0.48,0.52
2026-08-09T02:05:31Z,64851.83,0.48,0.52
2026-08-09T02:05:32Z,64851.84,0.53,0.47
2026-08-09T02:05:33Z,64851.84,0.53,0.47
2026-08-09T02:05:34Z,64851.84,0.53,0.47
2026-08-09T02:05:35Z,64851.84,0.53,0.47
2026-08-09T02:05:36Z,64851.84,0.55,0.45
2026-08-09T02:05:37Z,64851.84,0.50,0.50
2026-08-09T02:05:38Z,64851.84,0.56,0.45
2026-08-09T02:05:39Z,64851.83,0.56,0.43
2026-08-09T02:05:40Z,64851.84,0.57,0.42
2026-08-09T02:05:41Z,64851.84,0.56,0.43
2026-08-09T02:05:42Z,64851.84,0.56,0.43
2026-08-09T02:05:43Z,64851.84,0.56,0.43
2026-08-09T02:05:44Z,64851.84,0.56,0.45
2026-08-09T02:05:45Z,64851.84,0.56,0.45
2026-08-09T02:05:46Z,64851.83,0.56,0.45
2026-08-09T02:05:47Z,64851.83,0.51,0.49
2026-08-09T02:05:48Z,64851.83,0.48,0.52
2026-08-09T02:05:49Z,64851.83,0.48,0.52
2026-08-09T02:05:50Z,64851.84,0.48,0.52
2026-08-09T02:05:51Z,64851.84,0.48,0.52
2026-08-09T02:05:52Z,64851.84,0.48,0.52
2026-08-09T02:05:53Z,64851.83,0.48,0.52
2026-08-09T02:05:54Z,64851.83,0.48,0.52
2026-08-09T02:05:55Z,64851.83,0.53,0.47
2026-08-09T02:05:56Z,64851.83,0.53,0.47
2026-08-09T02:05:57Z,64851.83,0.53,0.47
2026-08-09T02:05:58Z,64851.84,0.53,0.47
2026-08-09T02:05:59Z,64851.84,0.53,0.47
2026-08-09T02:06:00Z,64851.84,0.53,0.47
2026-08-09T02:06:01Z,64851.84,0.53,0.47
2026-08-09T02:06:02Z,64851.84,0.53,0.47
2026-08-09T02:06:03Z,64851.84,0.53,0.47
2026-08-09T02:06:04Z,64851.84,0.46,0.54
2026-08-09T02:06:05Z,64851.84,0.46,0.54
2026-08-09T02:06:06Z,64851.84,0.47,0.53
